,sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,class,is_duplicate
42,4.4,3.2,1.3,0.2,Iris-setossa,False
43,5.0,3.5,1.6,0.6,Iris-setossa,False
44,5.1,3.8,1.9,0.4,Iris-setossa,False
45,4.8,3.0,1.4,0.3,Iris-setossa,False
46,5.1,3.8,1.6,0.2,Iris-setossa,False
47,4.6,3.2,1.4,0.2,Iris-setossa,False
48,5.3,3.7,1.5,0.2,Iris-setossa,False
49,5.0,3.3,1.4,0.2,Iris-setossa,False
50,7.0,3.2,4.7,1.4,Iris-versicolor,False
51,6.4,3.2,4.5,1.5,Iris-versicolor,False
52,6.9,3.1,4.9,1.5,Iris-versicolor,False
53,5.5,2.3,4.0,1.3,Iris-versicolor,False
54,6.5,2.8,4.6,1.5,Iris-versicolor,False
55,5.7,2.8,4.5,1.3,Iris-versicolor,False
56,6.3,3.3,4.7,1.6,Iris-versicolor,False
57,4.9,2.4,3.3,1.0,Iris-versicolor,False
58,6.6,2.9,4.6,1.3,Iris-versicolor,False
59,5.2,2.7,3.9,1.4,Iris-versicolor,False
60,5.0,2.0,3.5,1.0,Iris-versicolor,False
61,5.9,3.0,4.2,1.5,Iris-versicolor,False
62,6.0,2.2,4.0,1.0,Iris-versicolor,False
63,6.1,2.9,4.7,1.4,Iris-versicolor,False
64,5.6,2.9,3.6,1.3,Iris-versicolor,False
65,6.7,3.1,4.4,1.4,Iris-versicolor,False
66,5.6,3.0,4.5,1.5,Iris-versicolor,False
67,5.8,2.7,4.1,1.0,Iris-versicolor,False
68,6.2,2.2,4.5,1.5,Iris-versicolor,False
69,5.6,2.5,3.9,1.1,Iris-versicolor,False
70,5.9,3.2,4.8,1.8,Iris-versicolor,False
71,6.1,2.8,4.0,1.3,Iris-versicolor,False
72,6.3,2.5,4.9,1.5,Iris-versicolor,False
73,6.1,2.8,4.7,1.2,Iris-versicolor,False
74,6.4,2.9,4.3,1.3,Iris-versicolor,False
75,6.6,3.0,4.4,1.4,Iris-versicolor,False
76,6.8,2.8,4.8,1.4,Iris-versicolor,False
77,0.067,3.0,5.0,1.7,Iris-versicolor,False
78,0.06,2.9,4.5,1.5,Iris-versicolor,False
79,0.057,2.6,3.5,1.0,Iris-versicolor,False
80,0.055,2.4,3.8,1.1,Iris-versicolor,False
81,0.055,2.4,3.7,1.0,Iris-versicolor,False
82,5.8,2.7,3.9,1.2,Iris-versicolor,False
83,6.0,2.8,5.1,1.6,Iris-versicolor,False
84,5.4,3.0,4.5,1.5,Iris-versicolor,False
85,6.0,3.4,4.5,1.6,Iris-versicolor,False
86,6.7,3.1,4.7,1.5,Iris-versicolor,False
87,6.3,2.3,4.4,1.3,Iris-versicolor,False
88,5.6,3.0,4.1,1.3,Iris-versicolor,False
89,5.5,2.5,4.0,1.3,Iris-versicolor,False
90,5.5,2.6,4.4,1.2,Iris-versicolor,False
91,6.1,3.0,4.6,1.4,Iris-versicolor,False
92,5.8,2.6,4.0,1.2,Iris-versicolor,False
93,5.0,2.3,3.3,1.0,Iris-versicolor,False
94,5.6,2.7,4.2,1.3,Iris-versicolor,False
95,5.7,3.0,4.2,1.2,Iris-versicolor,False
96,5.7,2.9,4.2,1.3,Iris-versicolor,False
97,6.2,2.9,4.3,1.3,Iris-versicolor,False
98,5.1,2.5,3.0,1.1,Iris-versicolor,False
99,5.7,2.8,4.1,1.3,Iris-versicolor,False
100,6.3,3.3,6.0,2.5,Iris-virginica,False
101,5.8,2.7,5.1,1.9,Iris-virginica,False
102,7.1,3.0,5.9,2.1,Iris-virginica,False
103,6.3,2.9,5.6,1.8,Iris-virginica,False
104,6.5,3.0,5.8,2.2,Iris-virginica,False
105,7.6,3.0,6.6,2.1,Iris-virginica,False
106,4.9,2.5,4.5,1.7,Iris-virginica,False
107,7.3,2.9,6.3,1.8,Iris-virginica,False
108,6.7,2.5,5.8,1.8,Iris-virginica,False
109,7.2,3.6,6.1,2.5,Iris-virginica,False
110,6.5,3.2,5.1,2.0,Iris-virginica,False
111,6.4,2.7,5.3,1.9,Iris-virginica,False
112,6.8,3.0,5.5,2.1,Iris-virginica,False
113,5.7,2.5,5.0,2.0,Iris-virginica,False
114,5.8,2.8,5.1,2.4,Iris-virginica,False
115,6.4,3.2,5.3,2.3,Iris-virginica,False
116,6.5,3.0,5.5,1.8,Iris-virginica,False
117,7.7,3.8,6.7,2.2,Iris-virginica,False
118,7.7,2.6,6.9,2.3,Iris-virginica,False
119,6.0,2.2,5.0,1.5,Iris-virginica,False
120,6.9,3.2,5.7,2.3,Iris-virginica,False
121,5.6,2.8,4.9,2.0,Iris-virginica,False
122,5.6,2.8,6.7,2.0,Iris-virginica,False
123,6.3,2.7,4.9,1.8,Iris-virginica,False
124,6.7,3.3,5.7,2.1,Iris-virginica,False
125,7.2,3.2,6.0,1.8,Iris-virginica,False
126,6.2,2.8,4.8,1.8,Iris-virginica,False
127,6.1,3.0,4.9,1.8,Iris-virginica,False
128,6.4,2.8,5.6,2.1,Iris-virginica,False
129,7.2,3.0,5.8,1.6,Iris-virginica,False
130,7.4,2.8,6.1,1.9,Iris-virginica,False
131,7.9,3.8,6.4,2.0,Iris-virginica,False
132,6.4,2.8,5.6,2.2,Iris-virginica,False
133,6.3,2.8,5.1,1.5,Iris-virginica,False
134,6.1,2.6,5.6,1.4,Iris-virginica,False
135,7.7,3.0,6.1,2.3,Iris-virginica,False
136,6.3,3.4,5.6,2.4,Iris-virginica,False
137,6.4,3.1,5.5,1.8,Iris-virginica,False
138,6.0,3.0,4.8,1.8,Iris-virginica,False
139,6.9,3.1,5.4,2.1,Iris-virginica,False
140,6.7,3.1,5.6,2.4,Iris-virginica,False
141,6.9,3.1,5.1,2.3,Iris-virginica,False
143,6.8,3.2,5.9,2.3,Iris-virginica,False
144,6.7,3.3,5.7,2.5,Iris-virginica,False
145,6.7,3.0,5.2,2.3,Iris-virginica,False
146,6.3,2.5,5.0,2.3,Iris-virginica,False
147,6.5,3.0,5.2,2.0,Iris-virginica,False
148,6.2,3.4,5.4,2.3,Iris-virginica,False
149,5.9,3.0,5.1,1.8,Iris-virginica,False
